AAB	Abelag Aviation - Belgium	ABG
GLB	Global Airways (GLB) - United States	GLO-AIR
GLD	Golden Star Air Cargo - Sudan	GOLDEN STAR
GLE	Goliaf Air - S?o Tomé and Príncipe	GOLIAF AIR
GLF	Gulfstream Aerospace - United States	GULFSTREAM TEST
GLG	Aerogal - Ecuador	AEROGAL
GLJ	Global Jet Austria - Austria	GLOBAL AUSTRIA
GLL	Air Gemini - Angola	TWINS
GLM	Aero Services Mali - Mali	GLOBAL MALI
GLO	Gol Transportes Aéreos - Brazil	GOL
GLQ	El Quilada International Aviation - Sudan	QUILADA
GLR	Central Mountain Air - Canada	GLACIER
GLS	Galaircervis - Ukraine	GALS
GLT	Aero Charter - United States	GASLIGHT
GLU	Great Lakes Airways (Uganda) - Uganda	LAKES CARGO
GMA	Gama Aviation - United Kingdom	GAMA
GMC	General Motors - United States	GENERAL MOTORS
GME	Aguilas Mayas Internacional - Guatemala	MAYAN EAGLES
GMG	GMG Airlines - Bangladesh	GMG
GMH	Hughes Aircraft Company - United States	HUGHES EXPRESS
GMI	Germania - Germany	GERMANIA
GMJ	Gamisa Aviación - Spain	GAMISA
GML	G & L Aviation - South Africa	GEEANDEL
GMM	Aerotaxis Guamuchil - Mexico	AEROGUAMUCHIL
GMQ	Germania Express - Germany	CORGI
GMR	Golden Myanmar Airlines - Myanmar	GOLDEN MYANMAR
GMS	Aeroservicios Gama - Mexico	SERVICIOS GAMA
GMT	Grupo Aéreo Monterrey - Mexico	GRUPOMONTERREY
GNA	Servicios Aéreos Gana - Mexico	SERVIGANA
GNC	Guinea Cargo - Equatorial Guinea	GUINEA CARGO
GND	Grand Airways - United States	GRAND VEGAS
GNF	Gandalf Airlines - Italy	Gandalf
GNJ	Gain Jet Aviation - Greece	HERCULES JET
GNL	135 Airways - United States	GENERAL
GNR	Gambia International Airlines - Gambia	GAMBIA INTERNATIONAL
GNS	Eastern Executive Air Charter - United Kingdom	GENESIS
GNT	Amber Air - Lithuania	GINTA
GNY	German Navy - Germany	GERMAN NAVY
GNZ	General Aviation - Poland	GONZO
GOA	Alberta Government - Canada	ALBERTA
GOB	Dash Aviation - United Kingdom	PILGRIM
GOF	Gof-Air - Mexico	GOF-AIR
GOI	Gofir - Switzerland	SWISS HAWK
GOJ	EuroJet Aviation - United Kingdom	GOJET
GOL	Cardolaar - Namibia	CARGOLAAR
GOM	Gomel Airlines - Belarus	GOMEL
GOP	Gospa Air - Mexico	GOSPA AIR
GOR	Gorlitsa Airlines - Ukraine	GORLITSA
GOT	WaltAir - Sweden	GOTHIC
GOW	GoAir - India	GOAIR
GPA	Golden Pacific Airlines - United States	GOLDEN PAC
GPC	Gulf Pearl Air Lines - Libya	AIR GULFPEARL
GPD	Tradewind Aviation - United States	GOODSPEED
GPE	GP Express Airlines - United States	REGIONAL EXPRESS
GPM	Grup Air-Med - Spain	GRUPOMED
GPR	GPM Aeroservicio - Mexico	GPM AEROSERVICIO
GRA	Great American Airways - United States	GREAT AMERICAN
GRD	National Grid plc - United Kingdom	GRID
GRE	Air Scotland - Greece	GREECE AIRWAYS
GRG	Air Georgia - Georgia	AIR GEORGIA
GRL	Air Greenland - Denmark	GREENLAND
GRP	Great Plains Airlines - United States	GREAT PLAINS
GRR	Agroar - Trabalhos Aéreos - Portugal	AGROAR
GRS	Golden Rule Airlines - Kyrgyzstan	GOLDEN RULE
GRV	Vernicos Aviation - Greece	NIGHT RIDER
GRX	Aircompany Grodno - Belarus	GRODNO
GRY	New York State Police - United States	GRAY RIDER
GRZ	Government of?Zambia?Communications Flight - Zambia	COM FLIGHT
GSA	Garden State Airlines - United States	GARDEN STATE
GSC	Grandstar Cargo International Airlines - China	GRANDSTAR CARGO/银河
GSJ	Grossmann Jet Service - Czech Republic	GROSSJET
GSK	Global Sky Aircharter - United States	GLOBAL SKY
GSL	Geographic Air Surveys - Canada	SURVEY-CANADA
GSP	Airlift Alaska - United States	GREEN SPEED
GSS	Global Supply Systems - United Kingdom	JET LIFT
GSV	Agrocentr-Avia - Kazakhstan	AGRAV
GSY	Guard Systems - Norway	GUARD AIR
GTC	Altin Havayolu Tasimaciligi Turizm Ve Ticaret - Turkey	GOLDEN WINGS
GTH	General Aviation Flying Services - United States	GOTHAM
GTI	Atlas Air - United States	GIANT
GTP	Aerotaxi Grupo Tampico - Mexico	GRUPOTAMPICO
GTR	Gestar - Chile	STAR GESTAR
GTV	Empresa de Aviación Aerogaviota - Cuba	GAVIOTA
GTX	GTA Air - United States	BIG-DEE
GUA	Aerotaxis de Aguascalientes - Mexico	AGUASCALIENTES
GUE	Aero Servicio Guerrero - Mexico	AERO GUERRERO
GUF	Gulf African Airlines - The Gambia	GULF AFRICAN
GUG	Aviateca - Guatemala	AVIATECA
GUJ	Gujarat Airways - India	GUJARATAIR
GUL	Gull Air - United States	GULL-AIR
GUM	Gum Air - Suriname	GUM AIR
GUN	Grant Aviation - United States	HOOT
GUS	Guja - Mexico	GUJA
GUY	Air Guyane - French Guiana	GREEN BIRD
GVG	Flygaktiebolaget Gota Vingar - Sweden	BLUECRAFT
GVI	Air Victoria Georgia - Georgia	IRINA
GVN	Gavina - Spain	GAVINA
GWA	Great Western Air - United States	G-W AIR
GWI	Germanwings - Germany	GERMAN WINGS
GWL	Great Wall Airlines - China	GREAT WALL/长城
GWN	Gwyn Aviation - United Kingdom	GWYN
GWS	General Airways - South Africa	GENAIR
GWY	USA3000 Airlines - United States	GETAWAY
GXA	Grixona - Moldova	GRIXONA
GXL	Star XL German Airlines - Germany	STARDUST
GXL	XL Airways Germany - Germany	STARDUST
GXY	Galaxy Airlines - Japan	GALAX
GYP	Eagle Aviation - United Kingdom	GYPSY
GZA	Excellent Air - Germany	EXCELLENT AIR
GZD	Grizodubova Air Company - Russia	GRIZODUBOVA AIR
GZP	Gazpromavia - Russia	GAZPROMAVIA
GZQ	Zagros Air - Iran	ZAGROS
HAA	Helicopteros Agroforestal - Chile	AGROFORESTAL
HAD	Air d'Ayiti - Haiti	HAITI AVIA
HAF	Hellenic Air Force - Greece	HELLENIC AIR FORCE
HAG	Hageland Aviation Services - United States	HAGELAND
HAH	Hanhwa Business Jet Airlines - China	HAN MA/汉马
HAJ	Hajvairy Airlines - Pakistan	HAJVAIRY
HAK	Pegasus Helicopters - Norway	HELIFALCON
HAL	Hawaiian Airlines - United States	HAWAIIAN
HAN	Hansung Airlines - Republic of Korea	HANSUNG AIR
HAP	Helicopteros Aero Personal - Mexico	HELIPERSONAL
HAR	Harbor Airlines - United States	HARBOR
HAS	Honduras Airlines - Honduras	HONDURAS AIR
HAT	Air Taxi - France	TAXI BIRD
HAU	Skyhaul - Japan	SKYHAUL
HAV	Havilah Air Services - Nigeria	HAVILAH
HAW	Bangkok Aviation Center - Thailand	THAI HAWK
HAX	Benair - Norway	SCOOP
HAY	Hamburg Airways - Germany	HAMBURG AIRWAYS
HBA	Trail Lake Flying Service - United States	HARBOR AIR
HBC	Haitian Aviation Line - Haiti	HALISA
HBH	Hebei Airlines - China	HEBEI AIR/河北
HBI	CHC Denmark - Denmark	HELIBIRD
HBL	Faroecopter - Denmark	HELIBLUE
HBT	Polizeihubschrauberstaffel Thüringen - Germany	HABICHT
HBU	Universal Avia - Ukraine	KHARKIV UNIVERSAL
HCA	Lake Havasu Air Service - United States	HAVASU
HCB	Helenair (Barbados) - Barbados	HELEN
HCC	Holidays Czech Airlines - Czech Republic	CZECH HOLIDAYS
HCK	Heli-Charter - United Kingdom	HELI-CHARTER
HCL	Helenair Corporation - Saint Lucia	HELENCORP
HCP	Helicopter - Czech Republic	HELI CZECH
HCV	Halcyonair - Cape Verde	CREOLE
HCY	Helios Airways - Cyprus	HELIOS
HDA	Cathay Dragon - Hong Kong	DRAGON
HDC	Helcopteros De Cataluna - Spain	HELICATALUNA
HDI	Hoteles Dinamicos - Mexico	DINAMICOS
HDR	Helikopterdrift - Norway	HELIDRIFT
HEA	Heliavia-Transporte Aéreo - Portugal	HELIAVIA
HEB	Heli Bernina - Switzerland	HELIBERNINA
HEC	Heliservicio Campeche - Mexico	HELICAMPECHE
HED	Heritage Aviation Developments - United Kingdom	FLAPJACK
HEI	Aerohein - Chile	AEROHEIN
HEJ	Hellas Jet - Greece	HELLAS JET
HEL	Helicol - Colombia	HELICOL
HEM	CHC Helicopter - Australia	HEMS
HEN	Helicópteros Y Vehículos Nacionales Aéreos - Mexico	HELINAC
HER	Hex'Air - France	HEX AIRLINE
HET	TAF Helicopters - Spain	HELITAF
HEX	Honiara Cargo Express - Solomon Islands	HONIARA CARGO
HEZ	Arrow Aviation - Israel	ARROW
HFJ	SZ United Jet - China	PANGGU/盘古
HFM	Hi Fly Malta - Malta	MOONRAKER
HFR	Heli France - France	HELIFRANCE
HFY	Hi Fly - Portugal	SKY FLYER
HGA	Hogan Air - United States	HOGAN AIR
HGD	Hangard Aviation - Mongolia	HANGARD
HGH	Atlantic Air Lift - France	HIGHER
HGK	Fika Salaama Airlines - Uganda	SALAAMA
HGR	Hangar 8 - United Kingdom	HANG
HGT	GMJ Air Shuttle - United States	HIGHTECH
HHE	Heli-Holland - Netherlands	HELI HOLLAND
HHG	Hanergy - China	HANERGY JET/瑞能
HHH	Helicsa - Spain	HELICSA
HHI	Hamburg International - Germany	HAMBURG JET
HHN	Hahn Air - Germany	ROOSTER
HHO	Houston Helicopters - United States	HOUSTON HELI
HHP	Helenia Helicopter Service - Denmark	HELENIA
HHS	Hi-Jet Helicopter Services - Suriname	HIJET
HIA	Canadian Eagle Aviation - Canada	HAIDA
HIB	Helibravo Aviacao - Portugal	HELIBRAVO
HID	Aviación Ejecutiva De Hildago - Mexico	EJECUTIVA HIDALGO
HIF	Heli-Iberica Fotogrametria - Spain	HIFSA
HIG	Heli-Inter Guyane - France	INTER GUYANNE
HIN	Holding International Group - Mexico	HOLDING GROUP
HIP	Starship - Mexico	STARSA
HIS	Hispaniola Airways - Dominican Republic	HISPANIOLA
HIT	Helitalia - Italy	HELITALIA
HJA	Air Haiti - Haiti	AIRHAITI
HJE	Servicios Ejecutivos Gosa - Mexico	GOSA
HJL	Hamlin Jet - United Kingdom	BIZJET
HJT	Al Rais Cargo - United Arab Emirates	AL-RAIS CARGO
HKA	Superior Aviation - United States	SPEND AIR
HKB	Hawker Beechcraft - United States	CLASSIC
HKE	Hong Kong Express Airways - Hong Kong	HONGKONG SHUTTLE
HKG	Government Flying Service - Hong Kong SAR of China	HONGKONG GOVERNMENT
HKH	Air-Invest - Hungary	HAWKHUNGARY
HKI	Hawkaire - United States	HAWKEYE
HKL	Hak Air - Nigeria	HAK AIRLINE
HKN	Jim Hankins Air Service - United States	HANKINS
HKR	Hawk Air - Argentina	AIR HAW
HKS	CHC Helikopter Service - Norway	HELIBUS
HLA	HC Airlines - United Kingdom	HEAVYLIFT
HLB	High-Line Airways - Canada	HIGH-LINE
HLC	Helicap - France	HELICAP
HLD	Grampian Flight Centre - United Kingdom	GRANITE
HLE	UK HEMS - United Kingdom	HELIMED
HLF	Central Airlines - China	HOMELAND/牡丹
HLG	Helog - Switzerland	HELOG
HLH	Hala Air - Sudan	HALA AIR
HLI	Heli Securite - France	HELI SAINT-TROPEZ
HLK	Heli-Link - Switzerland	HELI-LINK
HLM	Heli Medwest De Mexico - Mexico	HELIMIDWEST
HLO	Samaritan Air Service - Canada	HALO
HLP	Helipistas - Spain	HELIPISTAS
HLR	Heli Air Services - Bulgaria	HELI BULGARIA
HLT	Helitafe - Mexico	HELITAFE
HLT	Helitours - Sri Lanka	HELITOURS
HLU	Heli Union Heli Prestations - France	HELI UNION
HLW	Heliworks - Chile	HELIWORKS
HLX	Hapag-Lloyd Express?(TUIfly) - Germany	YELLOW CAB
HMC	Heliamerica De Mexico - Mexico	HELIAMERICA
HMD	Charlie Hammonds Flying Service - United States	HAMMOND
HMF	Norrlandsflyg - Sweden	LIFEGUARD SWEDEN
HMM	Hamra Air - United Arab Emirates	HAMRA
HMP	Papair Terminal - Haiti	PAPAIR TERMINAL
HMR	North American Charters - Canada	HAMMER
HMS	Hemus Air - Bulgaria	HEMUS AIR
HMV	Homac Aviation - Luxembourg	HOMAC
HMX	Hawk De Mexico - Mexico	HAWK MEXICO
HMY	Harmony Airways - Canada	HARMONY
HNA	Greek Navy - Greece	HELLENIC NAVY
HNR	Haiti National Airlines?(HANA) - Haiti	HANAIR
HNT	Helicopteros Internacionales - Mexico	HELICOP INTER
HOA	Hola Airlines - Spain	HOLA
HOG	Mahogany Air Charters - Zambia	HOGAN AIR
HOL	Holiday Airlines - United States	HOLIDAY
HOM	Aero Homex - Mexico	AERO HOMEX
HOP	Hop! - France	AIR HOP
HOR	Horizon Air-Taxi - Switzerland	HORIZON
HOZ	Horizontes Aéreos - Mexico	HORIZONTES AEREOS
HPA	Pearl Airways - Haiti	PEARL AIRWAYS
HPJ	Hop-A-Jet - United States	HOPA-JET
HPL	Heliportugal - Portugal	HELIPORTUGAL
HPO	Almiron Aviation - Uganda	ALMIRON
HPR	Rick Lucas Helicopters - New Zealand	HELIPRO
HPS	Horizon Plus - Bangladesh	HORIZON PLUS
HRA	Heli-Iberica - Spain	ERICA
HRB	Haiti International Airline - Haiti	HAITI AIRLINE
HRH	Royal Tongan Airlines - Tonga	TONGA ROYAL
HRI	Skyraidybos Mokymo Centras - Lithuania	HELIRIM
HRN	Heron Luftfahrt - Germany	HERONAIR
HRS	Pursuit Aviation - United States	HORSEMAN
HRT	Chartright Air - Canada	CHARTRIGHT
HRZ	Croatian Air Force - Croatia	CROATIAN AIRFORCE
HSA	East African Safari Air - Kenya	DUMA
HSE	Compania Helicopteros Del Sureste - Spain	HELISURESTE
HSH	Hispánica de Aviación - Spain	HASA
HSI	Heliswiss - Switzerland	HELISWISS
HSK	Sky Europe Airlines - Slovakia	MATRA
HSM	Horizon Air for Transport and Training - Libya	ALOFUKAIR
HSO	Campania Helicopteros De Transporte - Spain	HELIASTURIAS
HSP	International Jet Charter - United States	HOSPITAL
HSR	Citylink Airlines - United States	HOOSIER
HSS	Compa?ía Transportes Aéreos Del Sur - Spain	TAS HELICOPTEROS
HSU	Helisul - Portugal	HELIS
HSV	Svenska Direktflyg - Sweden	HIGHSWEDE
HSY	Sky Helicopteros - Spain	HELISKY
HTA	Helitrans - Norway	SCANBIRD
HTB	Helix-Craft Aviation - Panama	HELIX-CRAFT
HTC	Haiti Trans Air - Haiti	HAITI TRANSAIR
HTE	Midwest Helicopters De Mexico - Mexico	HELICOPTERSMEXICO
HTG	Grossmann Air Service - Austria	GROSSMANN
HTI	Haiti International Air - Haiti	HAITI INTERNATIONAL
HTK	Ningxia Cargo Airlines - China	LINGBIRD/灵雀
HTL	Jet Link Aviation - United States	HEARTLAND
HTL	My Fair Jet - Austria	HOTLINE
HTO	Tango Bravo - France	HELI TANGO
HTP	Heli Trip - Mexico	HELI TRIP
HTR	Holstenair Lubeck - Germany	HOLSTEN
HTS	Helitrans Air Service - United States	HELITRANS
HTT	Air Tchad - Chad	HOTEL TANGO
HTU	Hongtu Airlines  - China	HONG LAND/乐途
HUB	Hub Airlines - United States	HUB
HUC	Aerolíneas de Techuacán - Mexico	LINEAS TEHUACAN
HUD	Horizons Unlimited - United States	HUD
HUF	Hungarian Air Force - Hungary	HUNGARIAN AIRFORCE
HUR	Miami Air Charter - United States	HURRICANE CHARTER
HUS	Huessler Air Service - United States	HUESSLER
HUT	Aerotransportes Huitzilin - Mexico	AEROHUITZILIN
HUV	Hunair Hungarian Airlines - Hungary	SILVER EAGLE
HUY	Aero Transportes Del Humaya - Mexico	AERO HUMAYA
HVA	Newair - United States	HAVEN-AIR
HVK	Turkish Air Force - Turkey	TURKISH AIRFORCE
HVL	Heavylift International - United Arab Emirates	HEAVYLIFT INTERNATIONAL
HVN	Vietnam Airlines - Vietnam	VIET NAM
HVY	Heavylift Cargo Airlines - Australia	HEAVY CARGO
HWD	HPM Investments - United Kingdom	FLITEWISE
HWY	Highland Airways - United Kingdom	HIWAY
HXA	China Express Airlines - China	CHINA EXPRESS/华夏
HYA	Hyack Air - Canada	HYACK
HYC	Hydro Air Flight Operations - South Africa	HYDRO CARGO
HYD	Hydro-Québec - Canada	HYDRO
HYH	Heli Hungary - Hungary	HELIHUNGARY
HYP	Hyperion Aviation - Malta	HYPERION
HYR	Airlink Airways - Ireland	HIGHFLYER
HYT	Yuantong Cargo Airlines - China	QUICK AIR/速派
HZX	Citic General Aviation - China	ZHONGXIN/中信
IAA	Indonesian Airlines - Indonesia	INDO LINES
IAC	Indian Airlines - India	INDAIR
IAC	Interaviation Charter - Romania	INTERCHARTER
IAD	AirAsia India - India	ARIYA
IAD	Fly Wex - Italy	FLYWEX
IAG	EPAG - France	EPAG
IAI	Israel Aircraft Industries - Israel	ISRAEL AIRCRAFT
IAJ	Islandair Jersey - United Kingdom	JARLAND
IAK	International Air Cargo Corporation - Egypt	AIR CARGO EGYPT
IAR	Iliamna Air Taxi - United States	ILIAMNA AIR
IAS	International Air Service - United States	STARFLEET
IAW	Iraqi Airways - Iraq	IRAQI
IAX	International Air Services - Liberia	INTERAIR SERVICES
IAY	Deadalos Flugtbetriebs - Austria	IASON
IBB	Binter Canarias - Spain	BINTER
IBC	Ibicenca Air - Spain	IBICENCA
IBE	Iberia Airlines - Spain	IBERIA
IBG	Springfield Air - United States	ICE BRIDGE
IBK	Norwegian Air International - Ireland	NORTRANS
IBL	IBL Aviation - Mauritius	CATOVAIR
IBR	Ibertour Servicios Aéreos - Spain	IBERTOUR
IBS	Iberia Express - Spain	IBEREXPRESS
IBT	Ibertrans Aérea - Spain	IBERTRANS
IBU	Indigo - United States	INDIGO BLUE
IBX	Ibex Airlines - Japan	IBEX
IBY	International Business Aircraft - United States	CENTRAL STAGE
IBZ	International Business Air - Sweden	INTERBIZ
ICA	Icaro - Italy	ICARFLY
ICB	Icebird Airline - Iceland	ICEBIRD
ICC	Instituto Cartografico de Cataluna - Spain	CARTO
ICE	Icelandair - Iceland	ICEAIR
ICG	Icelandic Coast Guard - Iceland	ICELAND COAST
ICJ	Icejet - Iceland	ICEJET
ICL	CAL Cargo Air Lines - Israel	CAL
ICM	Air Inter Cameroun - Cameroon	INTER-CAMEROUN
ICN	Inter-Canadian - Canada	INTER-CANADIAN
ICP	Intercopters - Spain	CHOPER
ICR	Eagle Aero - United States	ICARUS FLIGHTS
ICS	International Charter Services - Mexico	INTERSERVI
ICT	Intercontinental de Aviación - Colombia	CONTAVIA
ICU	Reignwood Asia Aviation - China	ASIA MEDICAL/亚盛
ICV	Cargolux Italia - Italy	CARGOLUX ITALIA
IDA	Indonesia Air Transport - Indonesia	INTRA
IDG	IDG Technology Air - Czech Republic	INDIGO
IDL	Ildefonso Redriguez - Mexico	ILDEFONSO
IDP	Independent Air Freighters - Australia	INDEPENDENT
IDR	Indicator Company - Hungary	INDICATOR
IEP	Elipiu' - Italy	ELIPIU
IFA	FAI Air Service - Germany	RED ANGEL
IFC	Indian Air Force - India	INDIAN AIRFORCE
IFF	Interfreight Forwarding - Sudan	INTERFREIGHT
IFI	Air Lift - Greece	HELLAS LIFT
IFL	IFL Group - United States	EIFEL
IFM	Ifly - Greece	ICOPTER
IFS	Italy First - Italy	RIVIERA
IFT	Interflight - United Kingdom	INTERFLIGHT
IFX	International Flight Training Academy - United States	IFTA
IGA	Skytaxi - Poland	IGUANA
IGN	Interguide Air - Nigeria	DIVINE AIR
IGO	IndiGo Airlines - India	IFLY
IGS	Isle Grande Flying School - United States	ISLA GRANDE
IHE	Interjet Helicopters - Greece	INTERCOPTER
IIG	"International Company for Transport, Trade and Public Works" - Libya	ALDAWLYH AIR
IIL	India International Airways - India	INDIA INTER
IJA	International Jet Aviation Services - United States	I-JET
IJE	Ivoire Jet Express - Ivory Coast	IVOIRE JET
IJM	IJM International Jet Management - Austria	JET MANAGEMENT
IJW	Interjet Inc. - United States	JET WEST
IKA	Itek Air - Kyrgyzstan	ITEK-AIR
IKK	IKI International Airlines - Japan	IKIAIR
IKM	Aero Survey - Ghana	EASY SHUTTLE
IKN	IKON FTO - Germany	IKON
IKR	Ikaros DK - Denmark	IKAROS
IKY	Intersky Bulgary - Bulgaria	GENERAL SKY
ILF	Island Air Charters - United States	ISLAND FLIGHT
ILK	Aero Airline - Kazakhstan	ILEK
ILL	Ilyich-Avia - Ukraine	ILYICHAVIA
ILN	Interair South Africa - South Africa	INLINE
ILS	Servicios Aéreos Ilsa - Mexico	SERVICIOS ILSA
ILV	Il-Avia - Russia	ILAVIA
IMA	Inter-Mountain Airways - United States	INTER-MOUNTAIN
IMG	Imperial Cargo Airlines - Ghana	IMPERIAL AIRLINES
IMN	Aerotaxis Cimarron - Mexico	TAXI CIMARRON
IMR	Imaer - Portugal	IMAER
IMT	Imtrec Aviation - Cambodia	IMTREC
IMX	Zimex Aviation - Switzerland	ZIMEX
INA	Aero Internacional - Mexico	AERO-NACIONAL
INC	Insel Air International - Netherlands Antilles	INSELAIR
IND	Iona National Airways - Ireland	IONA
INK	Sincom-Avia - Ukraine	SINCOM AVIA
INL	Intal Avia - Kyrgyzstan	INTAL AVIA
INO	Aeroservicios Intergrados de Norte - Mexico	INTENOR
INT	Intair - Canada	INTAIRCO
INU	Flyguppdraget Backamo - Sweden	INSTRUCTOR
INV	Inversija - Latvia	INVER
INX	Inter Express - Turkey	INTER-EURO
IOA	Iowa Airways - United States	IOWA AIR
IOM	Island Aviation and Travel - United Kingdom	ISLE AVIA
IOS	Isles of Scilly Skybus - United Kingdom	SCILLONIA
IPA	IPEC Aviation - Australia	IPEC
IPL	Airpull Aviation - Spain	IPULL
IPM	IPM Europe - United Kingdom	SHIPEX
IPN	Industri Pesawat Terbang Nusantara - Indonesia	NUSANTARA
IPR	Independent Carrier (ICAR) - Ukraine	ICAR
IPT	Interport Corporation - United States	INTERPORT
IQQ	Caribbean Airways - Barbados	CARIBJET
IRA	Iran Air - Iran	IRANAIR
IRC	Iran Aseman Airlines - Iran	ASEMAN
IRD	Arvand Airlines - Iran	ARVAND
IRE	Pariz Air - Iran	PARIZAIR
IRF	TA-Air Airline - Iran	TA-AIR
IRG	Iranian Naft Airlines - Iran	NAFT
IRH	Atlas Aviation Group - Iran	ATLAS AVIA
IRI	Navid - Iran	NAVID
IRJ	Bonyad Airlines - Iran	BONYAD AIR
IRK	Kish Air - Iran	KISHAIR
IRL	Irish Air Corps - Ireland	IRISH
IRM	Mahan Air - Iran	MAHAN AIR
IRO	CSA Air - United States	IRON AIR
IRP	Payam Air - Iran	PAYAMAIR
IRQ	Qeshm Air - Iran	QESHM AIR
IRR	Tara Air Line - Iran	TARAIR
IRU	Chabahar Airlines - Iran	CHABAHAR
IRV	Safat Airlines - Iran	SAFAT AIR
IRW	Aram Airline - Iran	ARAM
IRX	Aria Tour - Iran	ARIA
IRY	Eram Air - Iran	ERAM AIR
IRZ	Saha Airlines Services - Iran	SAHA
ISD	ISD Avia - Ukraine	ISDAVIA
ISG	Club Air - Italy	CLUBAIR
ISI	Island Air - Mexico	ISLANDMEX
ISK	Intersky - Austria	INTERSKY
ISL	Landsflug - Iceland	ISLANDIA
ISM	Auo Airclub AIST-M - Russia	STORK
ISN	Interisland Airlines - Philippines	TRI-BIRD
ISR	Israir - Israel	ISRAIR
ISS	Meridiana - Italy	MERIDIANA
IST	Istanbul Airlines - Turkey	ISTANBUL
ISW	Islas Airways - Spain	PINTADERA
ITA	Inter-Air - United States	CAFEX
ITE	Aerotaxi - Czech Republic	AEROTAXI
ITF	Avita-Servicos Aéreos - Angola	AIR AVITA
ITH	International Trans-Air - Nigeria	INTRANS NIGERIA
ITK	Interlink Airlines - South Africa	INTERLINK
ITN	Industrias Titan - Spain	TITANLUX
ITO	Aero Citro - Mexico	AERO CITRO
ITR	Frontier Commuter - United States	OUT BACK
ITS	Inter-State Aviation - United States	INTER-STATE
ITU	Intervuelos - Mexico	INTERLOS
ITW	Inter Air - Bulgaria	INTER WINGS
ITX	Imair Airlines - Azerbaijan	IMPROTEX
IUS	Icarus - Italy	ICARUS
IVA	Innotech Aviation - Canada	INNOTECH
IVE	Air Executive - Spain	COMPANY EXEC
IVJ	Flight International - United States	INVADER JACK
IVR	Burundaiavia - Kazakhstan	RERUN
IVS	Ivoire Aero Services - Ivory Coast	IVOIRE AERO
IVT	Interaviatrans - Ukraine	INTERAVIA
IVW	Ivoire Airways - Ivory Coast	IVOIRAIRWAYS
IWD	Iberworld - Spain	IBERWORLD
IXR	Ixair - France	X-BIRD
IXX	Dolphin Express Airlines - United States	ISLAND EXPRESS
IYE	Yemenia - Yemen	YEMENI
IZA	Izhavia - Russia	IZHAVIA
IZG	Zagros Airlines - Iran	ZAGROS
IZM	Izair - Turkey	IZMIR
JAA	Jet Asia Airways - Thailand	JET ASIA
JAB	Air Bagan - Myanmar	AIR BAGAN
JAC	Japan Air Commuter - Japan	COMMUTER
JAD	Aerojal - Mexico	AEROJAL
JAE	Jade Cargo International - China	JADE CARGO/翡翠
JAF	Jetairfly - Belgium	BEAUTY
JAG	Jetalliance - Austria	JETALLIANCE
JAI	Jet Airways - India	JET AIRWAYS
JAK	Jana-Arka - Kazakhstan	YANZAR
JAL	Japan Airlines - Japan	JAPANAIR
JAM	Sunline Express - Kenya	SUNTRACK
JAR	Airlink - Austria	AIRLINK
JAV	Jordan Aviation - Jordan	JORDAN AVIATION
JAW	Jamahiriya Airways - Libya	JAW
JAX	Janair - United States	JANAIR
JAZ	JALways - Japan	JALWAYS
JBA	Helijet - Canada	HELIJET
JBE	Sino Jet - China	SINO JET/北极熊
JBR	Job Air - Czech Republic	JOBAIR
JBU	JetBlue Airways - United States	JETBLUE
JCB	J C Bamford (Excavators) - United Kingdom	JAYSEEBEE
JCC	Jetcraft Aviation - Australia	JETCRAFT
JCF	Jet Center Flight Training - Spain	JET CENTER
JCH	Trading Air Cargo - Mauritania	TRADING CARGO
JCK	Jackson Air Services - Canada	JACKSON
JCM	Secure Air Charter - United States	SECUREAIR
JCR	Rotterdam Jet Center - Netherlands	ROTTERDAM JETCENTER
JCS	Jetclub - Switzerland	JETCLUB
